epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2608,0.69197,3.64647,1.227,0.19028,0.92754,0.39459,0.29179,0.80925,3.60838,1.63327,9.996e-05,9.996e-05,9.996e-05
2,21.9554,0.64879,2.81054,1.1713,0.23451,1,0.66864,0.51603,0.63711,3.55335,1.51013,0.00020296,0.00020296,0.00020296
3,27.4764,0.63428,1.81442,1.15873,0.04346,1,0.82275,0.57216,0.75116,2.9868,1.65328,0.000301719,0.000301719,0.000301719
4,34.0434,0.66764,1.37773,1.20563,0.89746,0.34877,0.8535,0.63147,0.79603,2.5891,1.81154,0.000396237,0.000396237,0.000396237
5,40.0705,0.61892,1.23027,1.11828,0.84651,0.68478,0.89194,0.67923,0.83939,2.09197,1.78287,0.000486514,0.000486514,0.000486514
6,46.3036,0.60422,1.1746,1.12187,0.84029,0.77449,0.90987,0.6842,0.91599,2.0105,1.77196,0.000572549,0.000572549,0.000572549
7,51.6147,0.65254,1.14724,1.15671,0.80273,0.52536,0.75586,0.49098,1.44204,2.15246,3.06744,0.000629177,0.000629177,0.000629177
8,56.5693,0.6515,1.09046,1.15389,0.90979,0.80797,0.92158,0.67598,1.0055,1.7203,1.84227,0.00061504,0.00061504,0.00061504
9,61.5754,0.62403,1.02021,1.12027,0.76627,0.70061,0.78531,0.46213,1.20194,2.09127,2.12618,0.000600902,0.000600902,0.000600902
10,66.6904,0.58948,1.00909,1.09734,0.8788,0.49332,0.77523,0.58668,0.9631,2.62052,1.82003,0.000586765,0.000586765,0.000586765
11,71.6664,0.61678,0.96311,1.13625,0.91955,0.68935,0.91089,0.70236,0.91064,1.73298,1.76421,0.000572628,0.000572628,0.000572628
12,76.6123,0.56337,0.90399,1.07934,0.84314,0.60734,0.8546,0.62335,1.01452,1.76133,1.88011,0.000558491,0.000558491,0.000558491
13,81.0984,0.61279,0.92344,1.1199,0.87549,0.64354,0.81108,0.48585,1.16611,1.96185,2.00431,0.000544354,0.000544354,0.000544354
14,86.0922,0.57591,0.81541,1.08483,0.54768,0.69565,0.59241,0.43807,0.96453,1.91228,1.74789,0.000530216,0.000530216,0.000530216
15,90.7156,0.5764,0.82161,1.11609,0.91002,0.7271,0.94256,0.73692,0.87034,1.42174,1.65292,0.000516079,0.000516079,0.000516079
16,95.3144,0.52406,0.81639,1.05919,0.8995,0.85507,0.93569,0.68332,0.95993,1.32319,1.73346,0.000501942,0.000501942,0.000501942
17,100.067,0.5526,0.76918,1.08298,0.94706,0.82609,0.95546,0.78528,0.71708,1.07629,1.46078,0.000487805,0.000487805,0.000487805
18,104.717,0.55193,0.73295,1.10255,0.82303,0.81097,0.869,0.71392,0.76839,1.221,1.50177,0.000473668,0.000473668,0.000473668
19,109.533,0.54043,0.71715,1.06593,0.76502,0.75187,0.83565,0.58086,0.92827,1.62702,1.68755,0.00045953,0.00045953,0.00045953
20,114.247,0.50649,0.66346,1.03609,0.92584,0.96083,0.98794,0.79417,0.74906,0.91498,1.48081,0.000445393,0.000445393,0.000445393
21,118.918,0.52126,0.67267,1.0546,0.95329,0.94079,0.98442,0.81741,0.72436,0.89794,1.45775,0.000431256,0.000431256,0.000431256
22,123.676,0.52471,0.65437,1.06831,0.83969,0.84723,0.9406,0.75791,0.76831,1.00925,1.49973,0.000417119,0.000417119,0.000417119
23,128.352,0.5107,0.63129,1.04541,0.94649,0.98374,0.99291,0.7944,0.84281,0.9099,1.53391,0.000402982,0.000402982,0.000402982
24,133.188,0.51062,0.61197,1.04073,0.97291,0.9186,0.98561,0.78425,0.72928,0.80446,1.46173,0.000388844,0.000388844,0.000388844
25,137.718,0.46611,0.56988,1.0131,0.99005,0.88034,0.97545,0.80409,0.78111,0.85254,1.55085,0.000374707,0.000374707,0.000374707
26,142.364,0.49105,0.57431,1.03605,0.92779,0.77383,0.93653,0.73945,0.80989,1.01802,1.53965,0.00036057,0.00036057,0.00036057
27,146.985,0.47977,0.57852,1.02372,0.93352,0.87319,0.95862,0.80083,0.68742,0.80816,1.40344,0.000346433,0.000346433,0.000346433
28,151.41,0.47995,0.56233,1.02936,0.96723,0.8789,0.97302,0.80388,0.68714,0.71108,1.39337,0.000332296,0.000332296,0.000332296
29,155.827,0.4543,0.52989,1.01264,0.89204,0.78922,0.88861,0.72275,0.76492,0.86529,1.47771,0.000318158,0.000318158,0.000318158
30,160.363,0.44808,0.51935,1.01867,0.89363,0.81884,0.9018,0.74823,0.74703,0.76932,1.47977,0.000304021,0.000304021,0.000304021
31,164.811,0.43889,0.51552,1.01216,0.91878,0.91542,0.97801,0.77794,0.87799,0.82448,1.56273,0.000289884,0.000289884,0.000289884
32,169.76,0.43873,0.49945,1.01505,0.90534,0.88778,0.97601,0.83682,0.62918,0.6952,1.32619,0.000275747,0.000275747,0.000275747
33,174.317,0.41976,0.47864,1.00656,0.93182,0.83587,0.98544,0.8386,0.62823,0.77747,1.32485,0.00026161,0.00026161,0.00026161
34,178.85,0.42082,0.47954,1.00456,0.95194,0.97201,0.99131,0.85528,0.62012,0.57688,1.29866,0.000247472,0.000247472,0.000247472
35,183.414,0.40204,0.45553,0.9928,0.9177,0.89036,0.98456,0.8427,0.64437,0.69944,1.32986,0.000233335,0.000233335,0.000233335
36,188.089,0.42718,0.46953,0.99754,0.83411,0.93291,0.94835,0.82028,0.68164,0.72341,1.37114,0.000219198,0.000219198,0.000219198
37,192.856,0.43603,0.45494,1.01833,0.9338,0.95623,0.98669,0.85112,0.66488,0.59908,1.38658,0.000205061,0.000205061,0.000205061
38,197.595,0.4177,0.46291,1.00263,0.96888,0.96589,0.99374,0.86899,0.64015,0.55515,1.33219,0.000190924,0.000190924,0.000190924
39,202.157,0.41801,0.45604,0.98903,0.98799,0.99275,0.99443,0.86356,0.63813,0.55214,1.32275,0.000176786,0.000176786,0.000176786
40,206.816,0.40247,0.43107,0.99715,0.99484,0.98551,0.99479,0.87319,0.60488,0.5165,1.28725,0.000162649,0.000162649,0.000162649
41,242.632,0.27553,0.49756,0.92573,0.97695,0.94581,0.99071,0.84499,0.68889,0.76619,1.37672,0.000148512,0.000148512,0.000148512
42,247.291,0.27101,0.44885,0.9004,0.96062,0.97193,0.99047,0.85835,0.61263,0.49949,1.3186,0.000134375,0.000134375,0.000134375
43,251.734,0.25288,0.41893,0.90089,0.99668,1,0.995,0.87517,0.61005,0.45887,1.31306,0.000120238,0.000120238,0.000120238
44,256.148,0.24938,0.41147,0.89595,0.99476,0.98021,0.99493,0.88519,0.59708,0.4565,1.30412,0.0001061,0.0001061,0.0001061
45,260.827,0.23567,0.39536,0.87995,0.9918,0.9829,0.99493,0.89167,0.56674,0.43713,1.2504,9.19632e-05,9.19632e-05,9.19632e-05
46,265.705,0.22763,0.37558,0.87059,0.99601,0.98003,0.99486,0.88447,0.57702,0.44231,1.27151,7.7826e-05,7.7826e-05,7.7826e-05
47,270.252,0.22208,0.37159,0.87898,0.99138,0.97925,0.99482,0.87883,0.5875,0.46347,1.29036,6.36888e-05,6.36888e-05,6.36888e-05
48,274.872,0.23095,0.36219,0.87946,0.99419,0.97598,0.99482,0.90164,0.5593,0.4393,1.26299,4.95516e-05,4.95516e-05,4.95516e-05
49,279.469,0.21438,0.35136,0.87589,0.99226,0.975,0.99489,0.89777,0.54818,0.43914,1.24727,3.54144e-05,3.54144e-05,3.54144e-05
50,284.038,0.21652,0.35694,0.87483,0.99421,0.97065,0.99482,0.89289,0.54269,0.44422,1.23836,2.12772e-05,2.12772e-05,2.12772e-05
